Brand,Product,Price,Description,Url
MSI,"
 GeForce GTX 1650 Super - VENTUS XS OC -näytönohjain
","184,90 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/156761/gtx-1650-super-ventus-xsoc/msi-geforce-gtx-1650-super-ventus-xs-oc-naytonohjain
Asus,"
 GeForce GTX 1650 Super - TUF Gaming OC Edition -näytönohjain, 4GB GDDR6 (Tarjous! Norm. 208€)
","179,90 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/156561/tuf-gtx1650s-o4g-gaming/asus-geforce-gtx-1650-super-tuf-gaming-oc-edition-naytonohjain-4gb-gddr6-tarjous-norm-208
Gigabyte,"
 GeForce RTX 3080 GAMING OC -näytönohjain, 10GB GDDR6X
","849,00 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164787/gv-n3080gaming-oc-10gd/gigabyte-geforce-rtx-3080-gaming-oc-naytonohjain-10gb-gddr6x
EVGA,"
 GeForce RTX 3080 FTW3 ULTRA GAMING -näytönohjain, 10GB GDDR6X
","949,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165225/10g-p5-3897-kr/evga-geforce-rtx-3080-ftw3-ultra-gaming-naytonohjain-10gb-gddr6x
Asus,"
 GeForce GTX 1660 TUF 3 Gaming OC Edition -näytönohjain, 6GB GDDR5
","249,90 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/154037/tuf-3-gtx1660-o6g-gaming/asus-geforce-gtx-1660-tuf-3-gaming-oc-edition-naytonohjain-6gb-gddr5
Asus,"
 Radeon RX 5600 XT TUF Gaming X3 EVO TOP Edition -näytönohjain, 6GB GDDR6 (Tarjous! Norm. 379€)
","339,90 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/161952/tuf-3-rx5600xt-t6g-evo-gaming/asus-radeon-rx-5600-xt-tuf-gaming-x3-evo-top-edition-naytonohjain-6gb-gddr6-tarjous-norm-379
Zotac,"
 GeForce RTX 3080 Trinity -näytönohjain, 10GB GDDR6X
","799,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164907/zt-a30800d-10p/zotac-geforce-rtx-3080-trinity-naytonohjain-10gb-gddr6x
Gigabyte,"
 GeForce GTX 1660 Super - OC -näytönohjain, 6GB GDDR6
","269,00 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/155571/gv-n166soc-6gd/gigabyte-geforce-gtx-1660-super-oc-naytonohjain-6gb-gddr6
Gainward,"
 GeForce RTX 3080 Phoenix -näytönohjain, 10GB GDDR6X
","799,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164860/gain-1952/gainward-geforce-rtx-3080-phoenix-naytonohjain-10gb-gddr6x
Zotac,"
 GeForce RTX 3080 Trinity OC -näytönohjain, 10GB GDDR6X
","849,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165436/zt-a30800j-10p/zotac-geforce-rtx-3080-trinity-oc-naytonohjain-10gb-gddr6x
MSI,"
 GeForce RTX 3090 GAMING X TRIO -näytönohjain, 24GB GDDR6X
","1 719,90 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164679/rtx-3090-gaming-x-trio-24g/msi-geforce-rtx-3090-gaming-x-trio-naytonohjain-24gb-gddr6x
EVGA,"
 GeForce RTX 3080 XC3 BLACK -näytönohjain, 10GB GDDR6X
","829,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165221/10g-p5-3881-kr/evga-geforce-rtx-3080-xc3-black-naytonohjain-10gb-gddr6x
Palit,"
 GeForce RTX 3080 GamingPro -näytönohjain, 10GB GDDR6X
","789,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164856/ned3080019ia-132aa/palit-geforce-rtx-3080-gamingpro-naytonohjain-10gb-gddr6x
Asus,"
 GeForce RTX 2080 Super Dual OC EVO V2-näytönohjain, 8GB GDDR6 (Tarjous! Norm. 819,90€)
","649,90 
                                        ","PCI-E 3.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/156326/dual-rtx2080s-o8g-evo-v2/asus-geforce-rtx-2080-super-dual-oc-evo-v2-naytonohjain-8gb-gddr6-tarjous-norm-819_90
MSI,"
 GeForce GTX 1050 Ti 4GT OC -näytönohjain, 4GB GDDR5
","151,00 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/131677/gtx-1050-ti-4gt-oc/msi-geforce-gtx-1050-ti-4gt-oc-naytonohjain-4gb-gddr5
EVGA,"
 GeForce RTX 3080 XC3 ULTRA GAMING -näytönohjain, 10GB GDDR6X
","879,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165223/10g-p5-3885-kr/evga-geforce-rtx-3080-xc3-ultra-gaming-naytonohjain-10gb-gddr6x
Asus,"
 Radeon RX 5500 XT DUAL OC Edition EVO -näytönohjain, 8GB GDDR6
","229,90 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/157119/dual-rx5500xt-o8g-evo/asus-radeon-rx-5500-xt-dual-oc-edition-evo-naytonohjain-8gb-gddr6
EVGA,"
 GeForce RTX 3080 XC3 GAMING -näytönohjain, 10GB GDDR6X
","849,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165222/10g-p5-3883-kr/evga-geforce-rtx-3080-xc3-gaming-naytonohjain-10gb-gddr6x
Gigabyte,"
 Radeon RX 5700 XT Gaming OC -näytönohjain, 8GB GDDR6
","449,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/153482/gv-r57xtgaming-oc-8gd/gigabyte-radeon-rx-5700-xt-gaming-oc-naytonohjain-8gb-gddr6
Palit,"
 GeForce RTX 3080 GamingPro OC -näytönohjain, 10GB GDDR6X
","819,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164855/ned3080s19ia-132aa/palit-geforce-rtx-3080-gamingpro-oc-naytonohjain-10gb-gddr6x
EVGA,"
 GeForce RTX 3080 FTW3 GAMING -näytönohjain, 10GB GDDR6X
","929,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165224/10g-p5-3895-kr/evga-geforce-rtx-3080-ftw3-gaming-naytonohjain-10gb-gddr6x
Gigabyte,"
 GeForce RTX 3090 GAMING OC -näytönohjain, 24GB GDDR6X
","1 749,00 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164785/gv-n3090gaming-oc-24gd/gigabyte-geforce-rtx-3090-gaming-oc-naytonohjain-24gb-gddr6x
MSI,"
 GeForce RTX 3090 VENTUS 3X OC -näytönohjain, 24GB GDDR6X
","1 669,90 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164681/rtx-3090-ventus-3x-oc-24g/msi-geforce-rtx-3090-ventus-3x-oc-naytonohjain-24gb-gddr6x
Gainward,"
 GeForce RTX 3080 Phoenix ""GS"" -näytönohjain, 10GB GDDR6X
","819,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164859/gain-2010/gainward-geforce-rtx-3080-phoenix-gs-naytonohjain-10gb-gddr6x
Gainward,"
 GeForce RTX 2060 Super Ghost -näytönohjain, 8GB GDDR6
","449,00 
                                        ","PCI-E 3.0, DVI/HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/152582/gain-1198/gainward-geforce-rtx-2060-super-ghost-naytonohjain-8gb-gddr6
MSI,"
 GeForce GTX 1050 Ti GAMING X -näytönohjain, 4GB GDDR5
","163,00 
                                        ","PCI-E 3.0, DVI/HDMI/DP, TWIN FROZR VI -jäähdytys  
                                        ",https://jimms.fi/fi/Product/Show/124325/gtx-1050-ti-gaming-x-4g/msi-geforce-gtx-1050-ti-gaming-x-naytonohjain-4gb-gddr5
Asus,"
 GeForce RTX 3090 ROG Strix -näytönohjain, 24GB GDDR6X
","1 879,90 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164724/rog-strix-rtx3090-24g-gaming/asus-geforce-rtx-3090-rog-strix-naytonohjain-24gb-gddr6x
MSI,"
 Radeon RX 5700 XT Gaming X -näytönohjain, 8GB GDDR6 (Tarjous! Norm. 499,90€)
","445,00 
                                        ","PCI-E 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/154554/rx-5700-xt-gaming-x/msi-radeon-rx-5700-xt-gaming-x-naytonohjain-8gb-gddr6-tarjous-norm-499_90
Gigabyte,"
 GeForce RTX 3090 EAGLE OC -näytönohjain, 24GB GDDR6X
","1 699,00 
                                        ","PCIe 4.0, 2xHDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/164786/gv-n3090eagle-oc-24gd/gigabyte-geforce-rtx-3090-eagle-oc-naytonohjain-24gb-gddr6x
KFA2,"
 GeForce RTX 3080 SG (1-Click OC) -näytönohjain, 10GB GDDR6X
","899,00 
                                        ","PCIe 4.0, HDMI/3xDP  
                                        ",https://jimms.fi/fi/Product/Show/165272/38nwm3md99nk/kfa2-geforce-rtx-3080-sg-1-click-oc-naytonohjain-10gb-gddr6x
