Brand,Product,Price,Description,Url
Jonsbo,"
 CR-1400 -prosessorijäähdytin
","20,90 
                                        ","Selätä prosessorisi lämpömurheet Jonsbon avulla | 1 x 92mm  
                                        ",https://jimms.fi/fi/Product/Show/162183/cr-1400/jonsbo-cr-1400-prosessorijaahdytin
Alpenföhn,"
 Black Ridge -prosessorijäähdytin
","45,90 
                                        ","Pidä suorittimesi lämmöt aisoissa Alpenföhnin avustuksella! | 92mm  
                                        ",https://jimms.fi/fi/Product/Show/146530/84000000156/alpenfohn-black-ridge-prosessorijaahdytin
EK-Waterblocks,"
 EK-M.2 NVMe jäähdytyssiili, musta
","11,40 
                                        ",,https://jimms.fi/fi/Product/Show/132177/3830046991737/ek-waterblocks-ek-m-2-nvme-jaahdytyssiili-musta
ARCTIC,"
 Freezer 34 eSports - White -prosessorijäähdytin
","33,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla!  
                                        ",https://jimms.fi/fi/Product/Show/148484/acfre00057a/arctic-freezer-34-esports-white-prosessorijaahdytin
be quiet!,"
 Dark Rock 4 -prosessorijäähdytin, musta
","72,90 
                                        ","Suorituskykyä ja hiljaisuutta, tätä tarjoaa be quiet! | 135mm tuuletin  
                                        ",https://jimms.fi/fi/Product/Show/140893/bk021/be-quiet-dark-rock-4-prosessorijaahdytin-musta
Noctua,"
 Prosessorijäähdytin NH-D14, LGA775/115x/1366 AM3/AM2/AM2+
","75,90 
                                        ",,https://jimms.fi/fi/Product/Show/33987/nh-d14/noctua-prosessorijaahdytin-nh-d14-lga775-115x-1366-am3-am2-am2
ARCTIC,"
 Freezer 7 X, kompakti prosessorijäähdytin
","21,90 
                                        ","Freezer 7 Pro saa arvoisensa seuraajan! | 1 x 92mm  
                                        ",https://jimms.fi/fi/Product/Show/158335/acfre00077a/arctic-freezer-7-x-kompakti-prosessorijaahdytin
Noctua,"
 Prosessorijäähdytin NH-L9i, LGA115x
","39,90 
                                        ",,https://jimms.fi/fi/Product/Show/75745/nh-l9i/noctua-prosessorijaahdytin-nh-l9i-lga115x
Noctua,"
 NH-L9a-AM4 chromax.black -prosessorijäähdytin
","54,90 
                                        ","Nyt sitä saa! Täysmustaa Noctuaa!  
                                        ",https://jimms.fi/fi/Product/Show/158041/nh-l9a-am4-chromax-black/noctua-nh-l9a-am4-chromax-black-prosessorijaahdytin
SilentiumPC,"
 Fortis 3 HE1425 v2 -prosessorijäähdytin
","40,90 
                                        ","Intel LGA775/115x/1366/2011(-3), AMD AM2(+)/AM3(+)/AM4/FM1/FM2(+)  
                                        ",https://jimms.fi/fi/Product/Show/124304/spc130/silentiumpc-fortis-3-he1425-v2-prosessorijaahdytin
Akasa,"
 M.2 SSD -jäähdytin, musta
","6,90 
                                        ","Passiivinen jäähdytysratkaisu M.2 SSD -levyllesi!  
                                        ",https://jimms.fi/fi/Product/Show/135952/a-m2hs01-bk/akasa-m-2-ssd-jaahdytin-musta
ARCTIC,"
 Freezer 34 eSports DUO - Grey/White -prosessorijäähdytin
","40,90 
                                        ","Pidä suorittimesi meno viileänä Arcticin jäähdytysratkaisujen avulla! | 2 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/160952/acfre00074a/arctic-freezer-34-esports-duo-grey-white-prosessorijaahdytin
AMD,"
 Vakio prosessorijäähdytin, AM4, 65W TDP
","7,90 
                                        ",,https://jimms.fi/fi/Product/Show/154972/amd-wraith-stealth-65w/amd-vakio-prosessorijaahdytin-am4-65w-tdp
Jonsbo,"
 CR-1000 -prosessorijäähdytin
","26,20 
                                        ","Selätä prosessorisi lämpömurheet Jonsbon avulla | 1 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/162164/cr-1000/jonsbo-cr-1000-prosessorijaahdytin
Noctua,"
 Prosessorijäähdytin NH-L12S, LGA115x/2011/2066, AMD AM2/AM2+/AM3/AM4/FM1*/FM2(+)
","54,90 
                                        ",,https://jimms.fi/fi/Product/Show/134396/nh-l12s/noctua-prosessorijaahdytin-nh-l12s-lga115x-2011-2066-amd-am2-am2-am3-am4-fm1-fm2
Scythe,"
 Mugen 5 Black RGB Edition -prosessorijäähdytin
","58,90 
                                        ","Niitä lämpöhuolet nurin Scythen tuotteilla! | 1 x 120mm  
                                        ",https://jimms.fi/fi/Product/Show/158306/scmg-5100bk/scythe-mugen-5-black-rgb-edition-prosessorijaahdytin
Jonsbo,"
 M.2-2 Mirage Edition, passiivijäähdytin M.2 2280 SSD-levylle, harmaa
","10,40 
                                        ","Näyttävään jäähdytykseen Jonsbo!  
                                        ",https://jimms.fi/fi/Product/Show/162211/m-2-2-argb/jonsbo-m-2-2-mirage-edition-passiivijaahdytin-m-2-2280-ssd-levylle-harmaa
