Brand,Product,Price,Description,Url
Asus,"
 PRIME B550-PLUS + AMD Ryzen 7 3700X + 16GB HyperX Fury DDR4 3200MHz (Bundletarjous!)
","529,90 
                                        ","Tuoretta komponenttia kokoonpanosi päivitysprojekteihin houkuttelevaan tarjoushintaan!  
                                        ",https://jimms.fi/fi/Product/Show/164186/pb550plus-3700x-16gb/asus-prime-b550-plus-amd-ryzen-7-3700x-16gb-hyperx-fury-ddr4-3200mhz-bundletarjous
ASRock,"
 B450M-HDV R4.0, mATX-emolevy
","64,90 
                                        ","AM4, AMD B450, 2 x DDR4, VGA/DVI/HDMI  
                                        ",https://jimms.fi/fi/Product/Show/151131/b450m-hdv-r4-0/asrock-b450m-hdv-r4_0-matx-emolevy
MSI,"
 MAG X570 TOMAHAWK WIFI, ATX-emolevy
","229,90 
                                        ","AM4, AMD X570, 4 x DDR4, HDMI, 802.11ax + BT  
                                        ",https://jimms.fi/fi/Product/Show/161984/mag-x570-tomahawk-wifi/msi-mag-x570-tomahawk-wifi-atx-emolevy
Asus,"
 PRIME X570-PRO, ATX-emolevy
","249,90 
                                        ","AM4, AMD X570, 4 x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/152156/prime-x570-pro/asus-prime-x570-pro-atx-emolevy
Asus,"
 ROG Strix Z390-F GAMING + Intel Core i5-9600K + Kingston 16GB DDR4 3200MHz (Tarjousbundle!)
","489,90 
                                        ","Siintääkö haaveissasi uusi Intel-pohjainen kokoonpano? Tällä bundlella perusta kuntoon vaivattomasti!  
                                        ",https://jimms.fi/fi/Product/Show/153902/z390f-9600k-cl16gb/asus-rog-strix-z390-f-gaming-intel-core-i5-9600k-kingston-16gb-ddr4-3200mhz-tarjousbundle
MSI,"
 MAG B550 TOMAHAWK + Ryzen 7 3700X + 16GB HyperX Fury DDR4 3200MHz (Bundletarjous!)
","599,90 
                                        ","MSI, AMD ja Kingston toimittavat erinomaisen perustan tulevalle kokoonpanollesi!  
                                        ",https://jimms.fi/fi/Product/Show/164791/magb550th-3700x-16gb/msi-mag-b550-tomahawk-ryzen-7-3700x-16gb-hyperx-fury-ddr4-3200mhz-bundletarjous
Asus,"
 TUF GAMING X570-PLUS, ATX-emolevy
","209,90 
                                        ","AM4, AMD X570, 4 x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/152155/tuf-gaming-x570-plus/asus-tuf-gaming-x570-plus-atx-emolevy
Asus,"
 ROG Strix X570-E Gaming, ATX-emolevy
","319,90 
                                        ","AM4, AMD X570, 4 x DDR4, HDMI/DP, 802.11ax + BT  
                                        ",https://jimms.fi/fi/Product/Show/152152/rog-strix-x570-e-gaming/asus-rog-strix-x570-e-gaming-atx-emolevy
MSI,"
 MAG B550 TOMAHAWK, ATX-emolevy
","189,90 
                                        ","AM4, AMD B550, 4 x DDR4, HDMI/DP  
                                        ",https://jimms.fi/fi/Product/Show/162955/mag-b550-tomahawk/msi-mag-b550-tomahawk-atx-emolevy
Asus,"
 TUF B450M-PRO GAMING mATX-emolevy + Ryzen 5 3600 + 16GB HyperX Fury DDR4 3200MHz (Bundletarjous!)
","364,90 
                                        ","Pakettitarjousta astetta pienempään komponenttinälkään!  
                                        ",https://jimms.fi/fi/Product/Show/156338/tb450m-pg-3600-16gb/asus-tuf-b450m-pro-gaming-matx-emolevy-ryzen-5-3600-16gb-hyperx-fury-ddr4-3200mhz-bundletarjous
Asus,"
 ROG Strix B550-F GAMING + Ryzen 5 3600 + 16GB DDR4 3200MHz (Bundletarjous!)
","459,90 
                                        ","Katse tulevaisuuteen B550-emolevyllä ja PCI-E 4.0 tuella! Tästä mainio päivityspaketti, tarjoushintaan tietenkin!  
                                        ",https://jimms.fi/fi/Product/Show/163247/rsb550fg-3600-16gb/asus-rog-strix-b550-f-gaming-ryzen-5-3600-16gb-ddr4-3200mhz-bundletarjous
