Brand,Product,Price,Description,Url
AMD,"
 Ryzen 7 3800XT, AM4, 3.9GHz, 8-core
","409,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/163118/100-100000279wof/amd-ryzen-7-3800xt-am4-3_9ghz-8-core
AMD,"
 Ryzen 7 3800X, AM4, 3.9GHz, 8-core
","399,00 
                                        ","3. sukupolven 7nm Ryzen on täällä!  
                                        ",https://jimms.fi/fi/Product/Show/152217/100-100000025box/amd-ryzen-7-3800x-am4-3_9ghz-8-core
Intel,"
 Core i5-10600K - Marvel's Avengers Collector's Edition, LGA1200, 4.10 GHz, 12MB, Boxed
","289,90 
                                        ",,https://jimms.fi/fi/Product/Show/164140/bx8070110600ka/intel-core-i5-10600k-marvel-s-avengers-collector-s-edition-lga1200-4_10-ghz-12mb-boxed
AMD,"
 Ryzen Threadripper 3990X, sTRX4, 2.9GHz, 292MB, 64-core
","4 399,00 
                                        ","Äärimmäistä tehoa!  
                                        ",https://jimms.fi/fi/Product/Show/158301/100-100000163wof/amd-ryzen-threadripper-3990x-strx4-2_9ghz-292mb-64-core
Intel,"
 Coffee Lake Core i5-9600KF, LGA1151, 3.70 GHz, Boxed
","210,00 
                                        ","HUOM! F-sarjan Core -prosessorit eivät sisällä integroitua näytönohjainta!  
                                        ",https://jimms.fi/fi/Product/Show/148530/bx80684i59600kf/intel-coffee-lake-core-i5-9600kf-lga1151-3_70-ghz-boxed
Intel,"
 Core i7-10700K - Marvel's Avengers Collector's Edition, LGA1200, 3.80 GHz, 16MB, Boxed
","419,90 
                                        ",,https://jimms.fi/fi/Product/Show/164141/bx8070110700ka/intel-core-i7-10700k-marvel-s-avengers-collector-s-edition-lga1200-3_80-ghz-16mb-boxed
Intel,"
 Core i3-10100, LGA1200, 3.60 GHz, 6MB, Boxed
","122,00 
                                        ",,https://jimms.fi/fi/Product/Show/161252/bx8070110100/intel-core-i3-10100-lga1200-3_60-ghz-6mb-boxed
Intel,"
 Core i5-10600KF, LGA1200, 4.10 GHz, 12MB, Boxed
","263,00 
                                        ",,https://jimms.fi/fi/Product/Show/161262/bx8070110600kf/intel-core-i5-10600kf-lga1200-4_10-ghz-12mb-boxed
Intel,"
 Core i5-10400, LGA1200, 2.90 GHz, 12MB, Boxed
","195,00 
                                        ",,https://jimms.fi/fi/Product/Show/161255/bx8070110400/intel-core-i5-10400-lga1200-2_90-ghz-12mb-boxed
AMD,"
 Ryzen Threadripper 3960X, sTRX4, 3.8GHz, 142,5MB, 24-core
","1 549,00 
                                        ","Äärimmäistä tehoa!  
                                        ",https://jimms.fi/fi/Product/Show/156268/100-100000010wof/amd-ryzen-threadripper-3960x-strx4-3_8ghz-142_5mb-24-core
AMD,"
 Ryzen 9 5900X, AM4, 3.7 GHz, 12-Core, Boxed
","579,00 
                                        ","Odotetut Zen3 -prosessorit ovat täällä!  
                                        ",https://jimms.fi/fi/Product/Show/166061/100-100000061wof/amd-ryzen-9-5900x-am4-3_7-ghz-12-core-boxed
