Brand,Product,Price,Description,Url
Corsair,"
 550W CX550M, puolimodulaarinen ATX-virtalähde, 80 Plus Bronze
","79,90 
                                        ","Corsair tarjoaa laadukkaat virtalähteet juuri Sinun kokoonpanoosi!  
                                        ",https://jimms.fi/fi/Product/Show/122596/cp-9020102-eu/corsair-550w-cx550m-puolimodulaarinen-atx-virtalahde-80-plus-bronze
Kolink,"
 700W Modular Power, semimodulaarinen ATX-virtalähde, 80 Plus Bronze, musta
","62,90 
                                        ","Modulaarista virtaa kokoonpanoosi!  
                                        ",https://jimms.fi/fi/Product/Show/155598/kl-700mv2/kolink-700w-modular-power-semimodulaarinen-atx-virtalahde-80-plus-bronze-musta
Asus,"
 850W ROG THOR, modulaarinen ATX-virtalähde, 80 Plus Platinum, musta
","249,90 
                                        ","Valjasta ukkonen käyttöösi!  
                                        ",https://jimms.fi/fi/Product/Show/145690/90ye0090-b001n0/asus-850w-rog-thor-modulaarinen-atx-virtalahde-80-plus-platinum-musta
Kolink,"
 600W Modular Power, semimodulaarinen ATX-virtalähde, 80 Plus Bronze, musta
","55,90 
                                        ","Modulaarista virtaa kokoonpanoosi!  
                                        ",https://jimms.fi/fi/Product/Show/155597/kl-600mv2/kolink-600w-modular-power-semimodulaarinen-atx-virtalahde-80-plus-bronze-musta
Corsair,"
 450W CV450 ATX-virtalähde, 80 PLUS Bronze, musta
","49,90 
                                        ","Huokeaa virtaa kokoonpanoosi!  
                                        ",https://jimms.fi/fi/Product/Show/157970/cp-9020209-eu/corsair-450w-cv450-atx-virtalahde-80-plus-bronze-musta
SilverStone,"
 750W Strider Gold Series ST75F-GS (V3.0), modulaarinen ATX-virtalähde, 80 Plus Gold, musta
","109,00 
                                        ","Pieni ja luotettava täysmodulaarinen virtaratkaisu juuri Sinulle!  
                                        ",https://jimms.fi/fi/Product/Show/150442/sst-st75f-gs-v-3-0/silverstone-750w-strider-gold-series-st75f-gs-v3_0-modulaarinen-atx-virtalahde-80-plus-gold-musta
Seasonic,"
 650W CORE GC-650, ATX-virtalähde, 80 Plus Gold, musta
","84,90 
                                        ","Laadukkaat watit kokoonpanoosi Seasonicilta!  
                                        ",https://jimms.fi/fi/Product/Show/153206/core-gc-650/seasonic-650w-core-gc-650-atx-virtalahde-80-plus-gold-musta
Kolink,"
 600W Core KL-C600 ATX-virtalähde, 80 Plus
","41,00 
                                        ",,https://jimms.fi/fi/Product/Show/130879/kl-c600/kolink-600w-core-kl-c600-atx-virtalahde-80-plus
Fractal Design,"
 860W Ion+ Platinum, modulaarinen ATX-virtalähde, 80 Plus Platinum, musta/Gunmetal
","149,90 
                                        ","Hiljaisuuden voima.  
                                        ",https://jimms.fi/fi/Product/Show/153173/fd-psu-ionp-860p-bk/fractal-design-860w-ion-platinum-modulaarinen-atx-virtalahde-80-plus-platinum-musta-gunmetal
Seasonic,"
 650W FOCUS PX-650, modulaarinen ATX-virtalähde, 80 Plus Platinum, musta
","134,90 
                                        ","Laadukkaat watit kokoonpanoosi Seasonicilta!  
                                        ",https://jimms.fi/fi/Product/Show/153192/focus-px-650/seasonic-650w-focus-px-650-modulaarinen-atx-virtalahde-80-plus-platinum-musta
