Product,Price,Description,Url
"
Kolink Observatory RGB, ikkunallinen miditornikotelo, valkoinen
","73,90 
                                        ","Tyylikäs kotelovaihtoehto, joka tarjoaa mm. RGB-valaistuksen sekä karkaistusta lasista valmistetun sivupaneelin!  
                                        ",jimms.fi/fi/Product/Show/143598/observatory-rgb-white/kolink-observatory-rgb-ikkunallinen-miditornikotelo-valkoinen
"
Lian Li PC-O11 Dynamic PCMR Limited Edition, ikkunallinen E-ATX -miditornikotelo, Space Grey
","179,90 
                                        ","Näyttävä erikoisversio, jossa Chrome Mirror -viimeistely!  
                                        ",jimms.fi/fi/Product/Show/162704/o11d-pcmr/lian-li-pc-o11-dynamic-pcmr-limited-edition-ikkunallinen-e-atx-miditornikotelo-space-grey
"
Phanteks P500A D-RGB BLACK, ikkunallinen miditornikotelo, musta
","134,90 
                                        ","Miditornien todellinen voimanpesä!  
                                        ",jimms.fi/fi/Product/Show/163496/ph-ec500atg_dbk01/phanteks-p500a-d-rgb-black-ikkunallinen-miditornikotelo-musta
"
Phanteks P500A BLACK, ikkunallinen miditornikotelo, musta
","104,90 
                                        ","Miditornien todellinen voimanpesä!  
                                        ",jimms.fi/fi/Product/Show/163492/ph-ec500atg_bk01/phanteks-p500a-black-ikkunallinen-miditornikotelo-musta
"
SilentiumPC Signum SG1M, ATX-miditornikotelo, musta
","33,90 
                                        ","Kompakti kotelo edullisempaan hintapointtiin!  
                                        ",jimms.fi/fi/Product/Show/149572/spc231/silentiumpc-signum-sg1m-atx-miditornikotelo-musta
"
Fractal Design Define R6 - Black - Tempered Glass, ikkunallinen ATX-kotelo, musta
","159,90 
                                        ","Ainoastaan mielikuvituksesi toimii rajana!  
                                        ",jimms.fi/fi/Product/Show/137245/fd-ca-def-r6-bk-tg/fractal-design-define-r6-black-tempered-glass-ikkunallinen-atx-kotelo-musta
"
Lian Li O11 Dynamic XL | ROG Certified, ikkunallinen E-ATX -kotelo, valkoinen
","209,90 
                                        ","Nerokas päivitys O11D:lle!  
                                        ",jimms.fi/fi/Product/Show/154079/o11dxl-w/lian-li-o11-dynamic-xl-rog-certified-ikkunallinen-e-atx-kotelo-valkoinen
"
Kolink Inspire K6, ikkunallinen mATX-kotelo, musta
","52,90 
                                        ","Uutta inspiraatiota kokoonpanollesi Kolinkin siivittämänä!  
                                        ",jimms.fi/fi/Product/Show/156611/inspire-k6/kolink-inspire-k6-ikkunallinen-matx-kotelo-musta
"
SilentiumPC Armis AR6 -tornikotelo, musta
","39,90 
                                        ","Olisiko Armis uusi armaasi?  
                                        ",jimms.fi/fi/Product/Show/161043/spc254/silentiumpc-armis-ar6-tornikotelo-musta
"
Cooler Master MasterBox NR200P, ikkunallinen Mini ITX -kotelo, musta
","119,00 
                                        ","Suuret ominaisuudet pienessä koossa!  
                                        ",jimms.fi/fi/Product/Show/163950/mcb-nr200p-kgnn-s00/cooler-master-masterbox-nr200p-ikkunallinen-mini-itx-kotelo-musta
"
NZXT H510 Elite, ikkunallinen ATX-miditornikotelo, mattavalkoinen/musta
","169,90 
                                        ","Liity eliittiin!  
                                        ",jimms.fi/fi/Product/Show/152291/ca-h510e-w1/nzxt-h510-elite-ikkunallinen-atx-miditornikotelo-mattavalkoinen-musta
"
Cooler Master MasterBox NR200P, ikkunallinen Mini ITX -kotelo, valkoinen
","119,00 
                                        ","Suuret ominaisuudet pienessä koossa!  
                                        ",jimms.fi/fi/Product/Show/163951/mcb-nr200p-wgnn-s00/cooler-master-masterbox-nr200p-ikkunallinen-mini-itx-kotelo-valkoinen
"
SilentiumPC Armis AR6 TG, ikkunallinen tornikotelo, musta
","46,90 
                                        ","Olisiko Armis uusi armaasi?  
                                        ",jimms.fi/fi/Product/Show/161044/spc255/silentiumpc-armis-ar6-tg-ikkunallinen-tornikotelo-musta
